iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GNQ,43.84942103,43.46901428,42.16525854,40.83934159,39.27475302,37.6963508,34.88644001,29.15887398,24.94529076,21.85510112,19.28792134,16.19812625,13.83230613,12.2302104,11.11972871,10.27567374,9.532333716,8.667681428,7.865950974,7.3544988,7.008681331,6.819774183,6.459997339,6.163802476,5.737525728,5.706492054,5.506883603,5.422908126,5.340385671,5.286921317
ERI,163.5068276,143.5766319,124.5155878,114.5200083,102.8196104,96.03456174,88.44883275,80.0635062,71.5997887,68.57605875,62.86084303,58.01904297,56.07816931,52.91529696,52.62858397,49.88708102,48.06197507,45.4598244,44.29571177,42.25278855,39.56502868,38.78326891,37.08088268,34.63435472,33.34930174,32.34657199,31.18652872,29.99889172,28.54202013,27.51704207
EST,0.711803721,0.676888651,0.58577481,0.554407342,0.46141079,0.426371653,0.335804379,0.31456272,0.269036481,0.240644099,0.201274002,0.18703544,0.15975157,0.150546368,0.143089658,0.110194716,0.120875527,0.11504175,0.101610412,0.079016757,0.074106079,0.070559108,0.054670842,0.043723571,0.035276339,0.037152122,0.036830603,0.03867989,0.03891111,0.039083235
SWZ,17.51280971,17.0533825,16.46027285,15.75745042,15.09287499,14.59893612,14.07226483,13.45637651,13.16286011,13.20340492,13.38968034,13.51396183,13.64033422,13.80303754,13.77397109,13.75736871,13.5852411,13.47743237,13.20865694,12.84205885,12.38033161,12.03940851,11.6483206,11.15528541,10.90211048,10.51177282,10.00334859,9.805558565,9.51439938,9.258437235
ETH,83.03908801,81.97276241,82.37770066,81.09880198,79.1043269,77.17419204,74.05341801,70.89869503,68.6557747,65.8179469,61.56649851,57.17566943,52.47887643,47.65069762,42.96145301,40.10996847,36.21992913,32.54333376,28.87562266,25.57329388,23.15152619,21.73214832,19.97167327,18.39484682,17.49916106,16.2542945,15.17206612,14.66464351,13.7717848,12.8963163
FJI,7.354051554,7.293093142,7.160494149,7.162446786,7.118882075,7.235257809,7.326734583,7.362835176,7.51619322,7.491454218,7.355721768,7.02115748,6.654932348,6.557028944,6.092884082,5.587755568,5.154510239,4.804254399,4.7324552,4.542918494,4.435760137,4.305920301,4.277773693,4.23101079,4.150951047,4.100999289,4.074458453,4.033969635,3.991026361,3.939587909
FIN,0.027527371,0.025216429,0.024229861,0.02592178,0.025981234,0.027926433,0.029057901,0.031766121,0.028439427,0.0273768,0.031300646,0.035309518,0.03696535,0.037248086,0.037861118,0.039359103,0.038087329,0.041588455,0.040628885,0.042057712,0.040110083,0.041500137,0.040417907,0.039829117,0.037721396,0.043109149,0.042007635,0.04109785,0.040809087,0.04048837
FRA,2.864509888,2.858424488,2.85625079,2.842904861,2.811326992,2.826384422,2.828031772,2.808037251,2.794215019,2.776709533,2.789697451,2.776793543,2.776601797,2.775093644,2.578874384,2.530815583,2.47127071,2.433802238,2.432151841,2.41404089,2.400782516,2.366612336,2.370213234,2.305693849,2.214360473,2.217456981,2.147246466,2.132166693,2.12331733,2.116586757
GAB,15.58752517,14.88230589,14.31065198,13.77728451,13.47010434,13.24293955,12.98291892,12.65735743,12.49677891,12.55787859,12.7748924,12.73619397,12.38243752,12.20478407,11.95466802,11.64163267,11.31127862,10.85766282,10.50813588,10.03107782,9.442074497,9.011346167,8.471993312,8.044893711,7.758160309,7.547742448,7.304527321,7.112260183,6.909785041,6.736178747
GMB,22.8215297,22.30626887,22.91547114,22.11021758,20.76319114,21.27200574,19.08431707,18.19953405,17.7841523,17.65082162,15.88400476,14.57770107,13.90371625,13.34643291,14.33505208,13.85251728,12.96954011,12.30395014,11.37529555,10.85632416,10.29334524,9.309538664,9.106761144,8.886369365,8.99611794,8.586364674,8.608234609,8.833810947,8.3772403,8.043738217
GEO,0.074065689,0.080073475,0.075307757,0.068358261,0.06512841,0.051786266,0.042407108,0.039894361,0.027941069,0.023476909,0.027309029,0.020218541,0.018704667,0.016618078,0.014895161,0.015452021,0.01601473,0.018028033,0.02179753,0.023924686,0.036218495,0.051551928,0.079164185,0.090385179,0.107369314,0.111145671,0.094595455,0.087540849,0.081981194,0.077408287
DEU,0.085539426,0.073978948,0.06845668,0.063780297,0.062429742,0.065786217,0.064372538,0.06435809,0.05978777,0.058894249,0.060947116,0.066321859,0.074569393,0.087403155,0.099261766,0.115535339,0.133003012,0.150719905,0.16941618,0.184953739,0.20250033,0.22017701,0.242040927,0.265933436,0.284955463,0.313857659,0.318884625,0.288399657,0.274263082,0.262043464
GHA,31.93099785,30.79392402,29.98694975,29.14860946,28.19965299,27.25232685,26.46996907,25.90062637,25.09890678,24.37011006,23.71698358,23.11908849,22.68856213,22.37400944,21.64648439,20.8069815,19.84191691,18.65190904,17.12197053,15.98482832,14.9112013,14.09813242,13.28228102,12.6347795,12.20784516,11.8672249,11.43770397,10.96196407,10.05656551,9.56348796
GRC,0.062593755,0.06567299,0.065147844,0.062379943,0.060704528,0.056465283,0.052599516,0.049646526,0.044217078,0.039496379,0.036501323,0.035493553,0.033096447,0.029841649,0.027180127,0.025212676,0.022824967,0.019862516,0.018775309,0.01647933,0.015395261,0.014611109,0.014112706,0.013586493,0.013553435,0.013951901,0.013728551,0.013932284,0.014349501,0.014589797
