Country Code,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ISR,Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ITA,Italy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
JAM,Jamaica,70.33,76.58,77.51,78.43,79.35,80.26,85.71,82.04,82.91,84.55,84.57,87.71,86.68,86.94,87.73,88.51,89.31,90.13,92,91.83,92.71,91.1,93.1,95.43,96.35,97.28,98.2
JPN,Japan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
JOR,Jordan,96.8,97.42,97.61,97.8,97.98,98.15,98.3,98.9,98.57,98.68,98.77,98.84,99.5,98.94,99.17,99.05,99.12,98.8,99.31,99.4,99.57,99.72,99.5,99.94,99.99,100,100
KAZ,Kazakhstan,97.72,97.89,98.06,98.23,98.38,99.9,98.67,98.79,98.9,97,99.05,99.1,99.13,99.16,99.19,99.22,99.77,99.33,99.42,100,99.64,99.8,99.87,99.95,99.99,100,100
KEN,Kenya,3.32,4.61,5.91,10.9,8.49,9.77,11.03,12.28,14.5,14.73,15.91,17.08,18.24,16,20.54,21.7,22.86,24.05,25.26,23,19.2,29,30.27,31.55,36,41.6,56
KIR,Kiribati,31.56,33.67,35.79,37.9,40,42.1,44.18,46.25,48.3,50.33,52.33,54.32,56.3,58.26,60.23,69.68,64.19,66.19,68.22,64.19,63.17,74.41,76.51,78.61,80.72,90.56,84.94
KOR,Korea,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
XKX,Kosovo,87.69,88.33,88.97,89.61,90.24,90.86,91.46,92.06,92.63,93.18,93.71,94.22,94.72,95.22,95.71,96.21,96.72,97.24,97.79,98.38,0,99.43,99.77,99.94,99.99,100,100
