iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BTN,263.23,261.789,259.009,256.141,253.204,250.184,247.034,243.757,240.367,236.84,233.137,229.099,224.786,220.242,215.537,210.633,205.53,200.385,195.335,189.213,183.17,177.437,171.599,165.854,160.554,155.3,150.037,144.971,140.234,135.485,130.834,126.232,121.771,117.557,113.47,109.253,105.091,101.136,96.94,93.02,89.376,85.754,82.092,78.813,76.122,72.286,69.132,66.209,63.145,60.114,60.72,54.788,52.09,49.482,47.091,44.864,42.583,40.15,37.937,36.093,34.244,32.522,30.893,29.515,28.299,27.266,26.373,25.556,24.684,23.891,23.184,22.589
BWA,138.147,136.355,132.798,129.322,125.93,122.63,119.473,116.521,113.447,110.634,107.779,104.986,102.273,99.742,97.233,94.763,92.397,89.991,87.611,85.033,82.345,79.565,76.628,73.55,70.48,67.298,64.121,60.989,57.937,55.044,52.301,49.654,47.18,44.879,42.794,40.836,39.123,37.72,37.264,36.483,36.917,38.181,40.169,42.363,44.902,47.816,50.222,52.684,54.747,56.284,57.33,57.061,55.953,54.583,52.515,48.874,45.982,43.427,42.732,41.222,38.552,38.948,38.186,37.42,37.757,37.403,37.063,36.158,35.573,34.919,34.173,33.332
CAF,190.733,189.66,187.525,185.417,183.336,181.283,179.258,177.259,175.279,173.312,170.544,167.776,164.906,162.025,158.9,155.802,152.648,149.41,146.243,143.192,140.302,137.628,135.079,132.759,130.584,128.528,126.594,124.754,123.023,121.412,120.008,118.794,117.79,116.96,116.292,115.662,115.112,114.67,114.486,114.678,115.009,115.154,115.077,114.749,114.281,113.835,113.375,112.841,112.165,111.422,111.025,110.09,109.118,108.142,107.214,106.17,104.76,103.38,101.719,99.494,97.281,94.664,92.121,89.948,89.103,84.671,81.566,79.3,77.438,74.648,72.42,71.423
CAN,41.557,38.378,39.855,37.918,34.969,34.415,35.065,33.457,31.277,29.121,27.731,27.116,27.298,25.959,24.369,22.486,22.113,21.318,20.524,19.582,19.133,17.338,16.885,15.363,15.072,14.392,13.04,12.596,12.003,11.035,10.581,9.635,9.234,8.568,8.215,7.981,7.877,7.265,7.24,7.222,6.848,6.335,6.012,6.199,6.235,6.034,5.469,5.357,5.207,5.208,5.107,5.257,5.352,5.307,5.238,5.445,5.089,5.207,5.118,4.944,5.015,4.877,4.792,4.923,4.682,4.528,4.535,4.467,4.634,4.366,4.32,4.275
CHE,31.026,29.273,29.08,28.977,26.764,25.993,25.408,22.725,21.765,21.869,21.187,21.517,21.715,20.913,19.423,17.7,16.96,17.488,16.138,15.592,15.34,14.218,13.029,13.103,12.536,10.61,10.817,9.792,8.579,8.593,9.211,7.538,7.687,7.478,7.204,6.887,6.936,6.908,7.017,7.385,6.946,6.348,6.434,5.481,5.159,5.063,4.733,4.727,4.759,4.614,4.933,4.85,4.536,4.284,4.309,4.244,4.431,4.008,4.054,4.38,3.905,3.851,3.789,3.95,4.05,4.004,3.559,3.595,3.325,3.298,3.692,3.219
CHL,119.626,119.244,118.415,117.46,116.367,115.145,113.78,112.261,110.565,108.656,106.496,104.047,101.286,98.183,94.767,91.107,99.884,90.666,81.406,76.11,75.855,71.521,72.662,65.681,63.894,53.717,50.722,42.442,34.158,32.813,30.066,26.441,24.163,21.401,19.441,18.955,18.996,18.362,19.242,17.397,16.231,14.4,13.825,12.561,11.622,10.691,10.968,10.064,10.715,10.577,9.589,9.014,8.257,8.115,8.463,7.876,7.495,8.077,7.731,7.842,7.27,7.442,7.092,6.605,7.217,6.754,6.673,6.588,6.653,6.589,4.969,4.689
CHN,131.805,128.537,125.127,122.131,120.468,117.547,114.733,112.101,109.244,157.003,197.516,153.385,100.103,97.781,94.883,91.811,88.876,86.353,83.965,81.499,78.016,74.507,71.13,67.752,64.387,61.134,57.574,54.408,51.502,48.915,46.758,44.866,43.372,42.243,41.495,41.079,40.886,40.891,40.961,40.964,40.775,40.431,39.753,38.857,37.756,36.543,35.208,33.766,32.303,30.662,28.885,27.011,25.077,23.111,21.227,19.468,17.866,16.44,15.281,14.03,13.026,12.063,11.184,10.365,9.604,8.898,8.251,7.639,7.079,6.559,6.084,5.654
CIV,238.727,236.898,233.122,229.131,224.911,220.457,215.846,211.213,206.676,202.196,197.805,193.466,189.144,185.02,180.997,177.02,173.076,169.188,165.333,161.5,157.553,153.376,148.942,144.299,139.442,134.582,129.82,125.354,121.298,117.766,114.823,112.316,110.203,108.479,107.099,106.055,105.342,104.885,104.7,104.782,104.992,105.282,105.506,105.649,105.612,105.359,104.678,103.716,102.458,101.001,99.336,97.431,95.387,93.316,91.039,88.647,86.381,84.063,81.595,78.919,76.581,74.627,72.63,70.598,68.494,66.591,65.096,63.538,61.702,59.821,58.23,56.921
CMR,194.218,193.139,190.877,188.532,182.72,177.252,171.991,167.017,162.417,158.317,154.828,151.918,149.593,147.515,145.311,142.734,139.566,135.763,131.692,127.484,123.398,119.928,117.022,114.99,113.788,113.118,112.627,111.938,110.948,109.373,107.313,104.638,101.598,98.345,95.06,91.968,89.579,87.203,85.866,85.292,85.494,86.338,87.394,88.712,89.879,90.725,91.418,91.619,91.45,90.625,89.404,87.892,86.102,84.262,82.487,80.824,79.08,77.37,75.503,73.696,71.432,69.097,66.55,63.979,61.564,59.097,56.885,54.839,52.965,51.407,49.924,48.459
COD,179.896,178.536,175.817,173.292,170.955,168.804,166.714,164.732,162.913,161.225,159.791,159.637,158.128,156.535,155.741,153.112,149.51,147.33,145.067,142.731,140.466,138.343,136.391,134.709,133.294,132.067,130.931,129.766,129.057,126.864,125.138,123.484,121.882,120.261,118.734,117.354,116.106,114.868,113.695,112.559,111.314,110.094,108.924,108.057,107.031,105.713,106.422,103.738,101.544,99.513,97.32,94.998,92.595,89.923,87.209,84.565,81.978,79.395,76.981,74.53,72.192,69.996,67.968,65.889,64.014,62.196,60.382,58.632,56.892,55.509,53.853,52.283
COG,154.535,151.169,147.583,143.722,139.603,135.332,130.891,126.411,121.999,117.676,113.612,109.878,106.367,103.217,100.239,97.403,94.642,92.282,89.7,87.387,85.274,83.285,81.378,79.62,77.957,76.399,74.934,73.492,72.103,70.644,69.285,67.897,66.504,65.061,63.655,62.318,61.217,60.397,59.994,59.998,60.519,61.421,62.699,64.352,66.134,68.061,70.037,75.132,75.091,73.99,73.08,71.422,68.802,65.565,61.697,57.772,54.045,50.675,47.668,45.287,43.593,42.117,41.009,39.976,38.747,37.614,36.496,35.437,34.48,35.421,32.591,31.659
