Country Name,iso,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Dominican Republic,DOM,0.03035808,0.02506859,0.02198023,0.02101212,0.01660525,0.04588073,0.04616562,0.06667605,0.07495412,0.1663375,0.163485,0.1378438,0.05815395,0.063124,0.07875503,0.08350497,0.08993983,0.09841019,0.1019437,0.09631553,0.08517014,0.07025869,0.09227323,0.09966472,0.1687229,0.1092336,0.09113666,0.08827194,0.08441153,0.08588453,0.07975933,0.07299363,0.07693551,0.06897834,0.05676705,0.04869629,0.04602599,0.04246823,0.04082261
Ecuador,ECU,0.07754419,0.1052266,0.1463483,0.1532876,0.1682755,0.2525988,0.3474143,0.3250159,0.0397067,0.09695816,0.191185,0.2875245,0.4542086,0.5266505,0.2898823,0.4052021,0.3205436,0.3765818,0.4045902,0.472607,0.2076862,0.4053186,0.3101161,0.2514173,0.1397799,0.09977726,0.1009519,0.1010856,0.1003292,0.08569993,0.07628579,0.07263657,0.05696216,0.04922486,0.05818828,0.05980362,0.05382355,0.2837315,0.05304143
Egypt,EGY,0.008718394,0.007292515,0.008376385,0.008482152,0.00830896,0.007817869,0.01044715,0.009050271,0.008952143,0.009321835,0.000828305,0.000878792,0.000898924,0.000907847,0.000911492,0.000752644,0.00102325,0.001130105,0.00122075,0.001234356,0.001291762,0.000965892,0.000773539,0.000576137,0.000119961,0.000146333,0.000145722,0.00012415,0.000102577,9.37E-06,0,0,0,9.84E-05,0.000196893,0.000295339,0.000295339,0.000295339,0.000295339
El Salvador,SLV,0.02213348,0.02768805,0.03143973,0.03155511,0.0397475,0.04111539,0.107779,0.1227895,0.1558084,0.1939903,0.1942579,0.2246743,0.2022518,0.1937078,0.1837622,0.08329609,0.1356736,0.1445821,0.1587715,0.1099356,0.09264388,0.1108249,0.07460611,0.1013686,0.07996299,0.06470702,0.0230637,0.0419731,0.05018929,0.04341827,0.03381832,0.02714041,0.02471303,0.01889793,0.0164508,0.01023553,0.01299656,0.01053407,0.01003232
Ethiopia,ETH,0.6428694,0.7059997,0.7441029,0.7508287,0.7715987,0.7886754,0.730303,0.6090118,0.6237786,0.6600686,0.6172292,0.6600657,0.6514798,0.5554707,0.7668097,0.4483993,0.4698147,0.3225015,0.4828796,0.1464115,0.3249653,0.2513098,0.1880663,0.1877491,0.4417337,0.2979658,0.081868247,0.1741667,0.482285633,0.4501075,0.4886856,0.66998908,0.55135146,0.4094517,0.28141028,0.6793611,0.483204,0.4143167,0.3747565
Fiji,FJI,0.1251377,0.154366,0.1610804,0.1549234,0.1681656,0.1850369,0.133723,0.1665974,0.2104717,0.1868617,0.1840516,0.2023389,0.1480287,0.1385522,0.114616,0.1077439,0.07821265,0.07385683,0.08248453,0.06151556,0.03847102,0.03452513,0.02107695,0.04569721,0.04628715,0.01785408,0.006101677,0.007842015,0.0218581,0.02229808,0.024623848,0.02409539,0.01676806,0.009913857,0.008145792,0.007490828,0.003899066,0.008594128,0.007889995
Finland,FIN,0.001161088,0,0.001460534,0.000216227,0.000184351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002493796,0,0.002478733,0.002498095,0.002421186,0.002456276,0,0.00229932,0,0.002358875,0.002345648,0.002495034,0.002462372,0.002462372,0.002462372,0.002462372
France,FRA,0.001291054,0.000808679,0.000670593,0.000514045,0.000248018,0.000167286,9.96E-05,4.65E-05,3.23E-05,3.03E-05,3.35E-05,4.02E-05,3.31E-05,1.27E-05,3.28E-05,3.43E-05,2.00E-05,2.32E-05,1.16E-05,1.48E-05,1.06E-05,8.94E-06,9.70E-06,0.002475366,0.002480457,0.002457001,0.00219962,0,0,0.002418086,0.002492812,0.002340704,0.002209275,0.002484029,0,0.002474028,0.002474028,0.002474028,0.002474028
Gabon,GAB,0.6065271,0.5789179,0.5619131,0.5416021,0.5148081,0.5630148,0.5519794,0.5634245,0.5263456,0.4842443,0.4764578,0.4775216,0.5282214,0.5290998,0.5763666,0.5702181,0.6058393,0.5908562,0.4714602,0.4127265,0.383525,0.3782713,0.3323741,0.3316588,0.3068685,0.2737309,0.204627692,0.1841022,0.167719225,0.1436666,0.113881525,0.0871687,0.073971522,0.05613646,0.046818625,0.04088508,0.04273595,0.112288,0.1177122
Germany,DEU,0.001537715,6.38E-07,1.28E-06,1.28E-06,1.28E-06,0,0,0,0,6.36E-07,0,0.002486047,0.003270805,0.004055562,0.00484032,0.004939105,0.004124509,0.003309912,0.002495316,0.002421858,0.002348399,0.002452552,0.0023723,0.002492435,0.00216876,0.002478031,0,0.002491347,0.00203592,0.002412404,0.002484761,0.002470753,0.002451968,0.002433182,0.002442078,0.002450973,0.002450973,0.002450973,0.002450973
Ghana,GHA,0.1881774,0.2046878,0.2147211,0.2394215,0.2585366,0.1873979,0.1540636,0.06310881,0.06245031,0.08290469,0.1035931,0.1481745,0.112506,0.1184137,0.123516,0.1421815,0.171902,0.1761336,0.1520992,0.127354,0.1263139,0.1254481,0.1106422,0.10157,0.09608209,0.09043114,0.048720519,0.03562435,0.026894247,0.02478671,0.018717071,0.013696624,0.01101242,0.01431905,0.021200765,0.03119432,0.04380548,0.04234637,0.04098106
Greece,GRC,0.002576999,0.002430877,0.000117515,0.000182908,0.000303429,0.000513958,0.001100392,0.000290756,9.52E-05,0.000119629,0.000103653,9.27E-05,6.78E-05,6.26E-05,3.84E-05,0.000301205,0.000167001,0.000223767,0.000190114,6.17E-05,5.68E-05,5.20E-05,4.72E-05,0.004982976,0.009902013,0.004962416,0.007487584,0.007481756,0.004960024,0.007490345,0.009974103,0.01496775,0.01736265,0.01240469,0.01748764,0.01724993,0.01724993,0.01724993,0.01724993
Guatemala,GTM,0.4185639,0.4294919,0.4268939,0.4279802,0.4198442,0.473394,0.5025305,0.4634356,0.410573,0.4186981,0.4702853,0.4636883,0.3814819,0.3063198,0.2427967,0.1763869,0.2608903,0.210097,0.159831,0.08851107,0.0886238,0.1031521,0.09193733,0.07418861,0.07908324,0.07452922,0.05938585,0.1018468,0.09126375,0.08430369,0.076297485,0.066741119,0.05817291,0.04979668,0.0625002,0.05809641,0.05621122,0.06639548,0.06243252
Guinea,GIN,0.8645238,0.9059459,0.9013905,0.9121923,0.915135,0.9117145,0.9167105,0.9502836,0.9378867,0.9448823,0.9522148,0.9251269,0.7468891,0.7456653,0.5696476,0.64348,0.6299589,0.6118517,0.6638529,0.6504589,0.6252015,0.6104017,0.6901823,0.6575425,0.7312207,0.7456075,0.63319054,0.7634381,0.69719492,0.7144244,0.72970394,0.73924098,0.6126145,0.5819211,0.6064226,0.5957719,0.5886208,0.5708954,0.5438001
Guinea-Bissau,GNB,0.5477599,0.5873072,0.577143,0.6061225,0.6094436,0.701559,0.5895524,0.6772109,0.6309014,0.5692422,0.5659249,0.5120085,0.595323,0.7505902,0.7854965,0.7478452,0.7407202,0.7655187,0.8359388,0.8586435,0.6763745,0.5476413,0.6854065,0.6949105,0.7042228,0.7142843,0.72371515,0.733146,0.742576825,0.7520077,0.7611221,0.773178,0.7801793,0.7806694,0.8011622,0.7746353,0.7483651,0.7125689,0.6846499
Haiti,HTI,0.6320897,0.6392139,0.6691115,0.6833504,0.6716063,0.672933,0.6576831,0.6825587,0.7113284,0.7413723,0.7462415,0.7715281,0.7612037,0.7529842,0.7804608,0.7121037,0.7499625,0.7622579,0.8022033,0.7972067,0.7543861,0.8054786,0.7669486,0.7657761,0.7973864,0.8053719,0.793007355,0.7866331,0.830883236,0.8149087,0.779670973,0.749970182,0.6954145,0.6893262,0.6859365,0.7176043,0.7176043,0.7106451,0.7106451
Honduras,HND,0.1652236,0.1848928,0.1969093,0.22774,0.2150837,0.2128845,0.1649774,0.197921,0.1809902,0.2020687,0.114162,0.07567356,0.07188125,0.08779107,0.09339424,0.1331952,0.06022045,0.1258257,0.1172508,0.06981966,0.09429346,0.07443233,0.08842237,0.08447578,0.09311339,0.07916322,0.03963909,0.05350808,0.03135123,0.03284131,0.05390056,0.06353916,0.04686163,0.0336909,0.0339155,0.04613307,0.04765672,0.2067941,0.04598039
Hungary,HUN,0,0,0,0,0,0,0,0.000887516,0.000996624,0.003529536,0.002030971,0.002897734,0.004331161,0.003353393,0.004081939,0.004549562,0.00410607,0.004166,0.004747821,0.002078055,0.00164373,0.001818069,0.000664772,0.003349849,0.002395387,0.001278582,0.001165503,0.005764302,0.002493967,0.002401623,0.002436743,0.004397555,0.009920708,0.00967218,0.01248487,0.01482695,0.01245982,0.01245982,0.01245982
Iceland,ISL,0.001619433,0.001282051,0.002465483,0.003067186,0.000901191,0.000893712,0.000664767,0.000313972,0.000430769,0.000319246,0.000180996,5.99E-05,0,0,0,0,0,0,0,0,0.00218494,0.00218494,0.00218494,0.00218494,0.002445965,0.002286082,0.002216097,0.002152277,0.002309812,0.002270231,0.002497277,0.002494745,0.002301693,0,0,0,0,0,0
India,IND,0.4885177,0.4938489,0.5585229,0.5589971,0.5279394,0.4896521,0.503372,0.5000377,0.510549,0.4976181,0.4709908,0.4983151,0.5251296,0.4854636,0.447182,0.4000352,0.4188643,0.3660145,0.4369679,0.3602065,0.3248616,0.2960163,0.3158238,0.3307796,0.3167524,0.2706879,0.26675094,0.2606452,0.25475962,0.2442286,0.23363755,0.1942515,0.2167979,0.1663678,0.1363577,0.1220888,0.1083274,0.1058273,0.09383663
Indonesia,IDN,0.3971022,0.3314652,0.2828913,0.2946886,0.2570588,0.232718,0.3186169,0.50412,0.5131842,0.5036509,0.4132616,0.3955926,0.4092681,0.3907948,0.3853518,0.3665392,0.3468358,0.3972069,0.7050897,0.4942801,0.4220511,0.3812622,0.223536,0.1754991,0.207786,0.1902612,0.2366776,0.2239524,0.2777002,0.2421865,0.2492167,0.2212214,0.205203,0.1874779,0.1626669,0.1427525,0.1293379,0.1167923,0.1082028
Iran,IRN,0.09040764,0.08286016,0.07989973,0.07292301,0.05523282,0.05021676,0.06147184,0.04452024,0.0133043,0.004411865,0.00567892,0.004908804,0.005012842,0.00395054,0.002849269,0.003065697,0.004195634,0.004015085,0.002600459,0.00267863,0.007167627,0.003964533,0.004426627,0.002245652,0.001554068,0.00117368,0.00068065,0.001616735,0.000630283,0.00109742,0.000553738,0.00024109,0.000212997,5.05E-05,0.000156067,5.97E-05,8.66E-05,8.21E-05,0.000103205
Ireland,IRL,0.001705381,0.001147255,0.003218391,0.002254566,0.002139416,0.002118644,0.000451977,5.65E-05,0.000382436,0.00039852,0.001510832,0.000184084,0.000182687,0.000139743,5.56E-05,0.000110681,6.88E-05,0.000122249,0.000241416,0.000119205,3.92E-05,2.58E-05,0.000114417,0.002425839,0.002333201,0.002457811,0.004742007,0.002387978,0.004933944,0.009986917,0.009829001,0.009937766,0.007457436,0.009811398,0.007475214,0.004852196,0.004852196,0.004852196,0.004852196
Israel,ISR,0.000336429,0.000672859,0.001009288,0.001345717,0.001682146,0.002018576,0.002355005,0.002321383,0.002287761,0.002254139,0.002220517,0.002186895,0.002153273,0.002213835,0.002274397,0.002334959,0.001964866,0.002456083,0.0024634,0.002470718,0.002478036,0.002485353,0.003069275,0.003653196,0.004237118,0.00482104,0.004862013,0.004902986,0.010672413,0.01135203,0.009949483,0.011078852,0.01220822,0.01234048,0.01247275,0.01120249,0.009932234,0.009932234,0.009932234
Italy,ITA,0.000393261,0.000185834,6.81E-05,7.95E-05,0.000116408,7.76E-05,7.58E-05,0.000198308,3.53E-05,2.91E-05,8.81E-06,1.15E-05,2.55E-05,0.000162827,8.13E-05,0.000186658,0.000115781,6.78E-05,0.0001007,3.55E-05,4.58E-05,2.93E-05,6.28E-05,0.01489305,0.01249768,0.01249584,0.01243449,0.01248116,0.0124629,0.01475212,0.01991402,0.01744773,0.01992624,0.02249369,0.01999504,0.02745869,0.02745869,0.02745869,0.02745869
